Time	Cap_LAD_D1	Cap_LAD_D4	Cap_LAD_LAD3	Cap_LAD_RI	Cap_LCX_LCX1	Cap_RCA_AM	Cap_RCA_RPDA1	Cap_RCA_RPLB2	Cap_Aorta_Inlet	Cap_Aorta_Outlet	
1	0	0	0	0	0	0	0	0	-1.86006e-05	1.8257e-05	
2	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.76378e-05	
3	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.76667e-05	
4	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.76917e-05	
5	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.76985e-05	
6	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.76989e-05	
7	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77032e-05	
8	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77013e-05	
9	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77025e-05	
10	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77006e-05	
11	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77001e-05	
12	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77016e-05	
13	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77003e-05	
14	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77007e-05	
15	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.7701e-05	
16	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77002e-05	
