Time	Cap_LAD_D1	Cap_LAD_D4	Cap_LAD_LAD3	Cap_LAD_RI	Cap_LCX_LCX1	Cap_RCA_AM	Cap_RCA_RPDA1	Cap_RCA_RPLB2	Cap_Aorta_Inlet	Cap_Aorta_Outlet	
1	7875.31	7863.49	7888.56	7874.58	7865.39	7894.12	7918.11	7920.86	7874.23	7813.86	
2	4332.12	6748.88	-2123.78	3819.66	6070.71	6179.5	2936.3	2331.68	7822.94	7830.33	
3	5192.52	7183.36	-3283.11	4314.02	7106.75	7396.3	3624.24	2456.44	7838.07	7839.7	
4	6599.08	7640.47	-1819.11	5097.5	7649.76	7829.28	4885.27	3412.34	7848.86	7849.16	
5	7581.48	7843.98	844.185	6347.42	7838.41	7864.06	6412.2	4799.6	7858.64	7858.67	
6	7935.65	7847.12	3398.43	7645.82	7828.56	7813.69	7326.9	6398.75	7868.08	7868.04	
7	7701.14	7814.41	5541.21	7792.45	7794.62	7823.02	7583.02	6988.89	7877.29	7877.19	
8	7527.77	7801.84	5962.67	7570.78	7780.37	7832.52	7426.61	7020.63	7886.27	7886.17	
9	7527.67	7814.12	6446.97	7333.63	7799.73	7842.91	7178.27	6865.28	7895.01	7894.93	
10	7572.29	7827.72	6455.96	7268.72	7813.17	7852.22	7091.92	6734.75	7903.57	7903.5	
11	7603.01	7838.06	6109.45	7293.1	7823.33	7861.88	7054.85	6669.58	7911.91	7911.84	
12	7617.63	7846.89	5645.36	7355.31	7832.54	7870.86	7105.29	6690.55	7920.04	7919.99	
13	7628.66	7856.54	5540.15	7398.57	7842.1	7879.55	7153.59	6737.83	7928.02	7927.96	
14	7637.85	7864	5533.04	7414.12	7850.28	7887.76	7178.3	6767.44	7935.8	7935.73	
15	7649.33	7872.46	5547.79	7428.27	7858.72	7895.98	7210.18	6805.21	7943.4	7943.33	
16	7660.77	7880.77	5607.85	7438.25	7866.92	7904.12	7236.6	6828.3	7950.84	7950.75	
17	7670.93	7889	5700.62	7446.41	7874.99	7911.47	7244.86	6835.42	7958.09	7957.99	
